"","poste","compagnie","pays"
"1","Visual Merchandiser","Fendi Korea","South Korea"
"2","UN(E) RESPONSABLE DE SERVICE AFFAIRES REGLEMENTAIRES","Parfums Christian Dior France","France"
"3","Studentische Aushilfe im Bereich Logistik (w/m)","SSC W&J Central Europe","Germany"
"4","Stage Chef de Projet Junior Finance","LVMH","France"
"5","Retail Project Manager","Hublot","Switzerland"
"6","Retail Project Manager","Hublot","Switzerland"
"7","Regional C&B Assistant Manager, PCD/SSC - APAC region","SSC P&C Hong Kong","Hong Kong"
"8","Regional C&B Assistant Manager","Parfums Christian Dior Hong Kong","Hong Kong"
"9","Kundenberater Salzburg (m/w) - Samstagskraft","Louis Vuitton Austria","Austria"
"10","Kundenberater Kitzbühel (M/W)","Louis Vuitton Austria","Austria"
"11","Kundenberater Kitzbühel (M/W)","Louis Vuitton Austria","Austria"
"12","Guerlain -Alternance Ingénieur logistique Promo/PLV (H/F)","Guerlain","France"
"13","Fancy Accessories & Fashion Jewelry Buyer","Manufacture Accessoires Louis Vuitton","Italy"
"14","Employé Libre Service","La Grande Epicerie de Paris","France"
"15","Directeur de magasin - Longwy (F/H)","Sephora France","France"
"16","Digital Marketing Manager (m/w)","BeneFit Cosmetics Germany","Germany"
"17","Contrôleur(euse) interne","Celine Europe","France"
"18","Conseillers de vente Exposition de rentrée F/H","Le Bon Marché","France"
"19","Conseiller de vente - Marseille","Louis Vuitton Malletier","France"
"20","Client Advisor (m/f) Budapest, Chinese speaker (part-time)","Louis Vuitton Hungaria","Hungary"
"21","Client Advisor (m/f) Budapest, Chinese speaker (full-time)","Louis Vuitton Hungaria","Hungary"
"22","Client Advisor (m/f) Bucharest (full-time)","Louis Vuitton Romania","Romania"
"23","Chargé de bureau d'études PAP Homme (H/F)","Sté Louis Vuitton Services","France"
"24","CHARGE(E) DE QUALITE","Givenchy S.A.","France"
"25","Assistant(e) chef de projet Maroquinerie","Sté Louis Vuitton Services","France"
"26","ASSISTANT ADMINISTRATION DES VENTES (H/F)","TAG Heuer Central Europe","Germany"
"27","ALTERNANCE / PARFUMS GIVENCHY : Assistant packaging (F/H)","LVMH Fragrance Brands France","France"
"28","Team Lead, Neiman Marcus, San Antonio","Louis Vuitton North America","United States"
"29","Summer Support - Client Advisor Madrid (Part-Time)","Louis Vuitton Spain","Spain"
"30","Stage Chef de Projet Junior Finance","LVMH","France"
